PostText,PosterName,PostDate,CommentDate,CommentContact,CommentDetails,CommentMedia
b'I am praying for those young Thai boys right now. As I understand it they are under rescue at this time',b'Ron Smith',20180710130047,,,,
,,,20180708075044,b'Sharon Waterhouse',"b'Same here Ron, for them and their rescuers.'",
,,,"Exception, Please check the post: mall_post_10156556368044591:6:0","b'Exception, Please check the post: mall_post_10156556368044591:6:0'","b'Exception, Please check the post: mall_post_10156556368044591:6:0'",
,,,20180708090112,b'Ron Smith',b'Have not heard anything Sharon for a couple of hours.It is a real worry',
,,,20180708105327,b'Sharon Waterhouse',"b""On tv they said it's possible the first of them may be out around 2am NZ time. Terrible for all involved.""",
,,,20180708105851,b'Ron Smith',b'One by one I think Sharon. Imagine being the last one?',
,,,20180708090936,b'Lucelle Oliver',b'Can\xe2\x80\x99t imagine the pain their parents are going through right now. And the families of the rescuers after one of them passed away - so sad \xf0\x9f\x98\xa2',
,,,20180708091358,b'Ron Smith',b'There is always hope Lucelle.',
,,,20180708091956,b'Ron Smith',b'I would like to think and believe that these little guys are being rescued right now. My partner is Thai. It is time that she stopped crying.',
,,,20180708094559,b'Deb Ghinn',"b""Aww, kind thoughts to her and you Ron. At least we know the rescue teams will be doing their very best, and it's been an international effort virtually from the start - terrific how so many ppl with expertise got stuck in. xx""",
,,,20180708095206,b'Ron Smith',b'Thank you Debs. No sign of the RRL or what ever they call they call themeselves',
,,,20180708102653,b'Jacky Hart',b'The human side of this is very much on my mind too. \xf0\x9f\x99\x8f\n\nhttps://www.facebook.com/photo.php?fbid=10160468248550403&set=a.10152061768305403.895676.578525402&type=3&theater',
,,,20180708121252,b'Ron Smith',b'2 of the 13 are out? can someone confirm?',
,,,20180708123635,b'Ron Smith',b'YES and off to hospital.',
,,,20180708123703,b'Ron Smith',b'Yay Yay Yay.',
,,,20180708125357,b'Martyn Ricketts',b'Yes according to BBC News website 2 boys are out abd in fiend hospital for checks',
,,,20180708125427,b'Ron Smith',b'Thai radio report that two boys are definitely in hospitable for observation after being recovered from that dreadful cave',
,,,20180708125713,b'Ron Smith',b'This is wonderful',
,,,20180708130032,b'Ron Smith',b'Six boys are out now.\nh my goodness.',
,,,20180708130322,b'Ron Smith',b'Can you believe it?',
,,,20180708131255,b'Ron Smith',b'I am listening to Thai radio. Maybe some confusion over the six boys.',
