Company Name,Address,Phone,Email,Web Site
Bayshore Bungalows Byron Bay,NA,(02) 6685 5693,enquiries@bayshorebungalows.com.au,http://www.bayshorebungalows.com.au/
Blackbutt Inn,"80 Orchardtown Rd, New Lambton NSW 2305",(02) 4957 3732,enquiries@blackbutthotel.com.au,http://www.bestwestern.com.au/blackbutt
Novotel Northbeach,"2- 14 Cliff Rd, North Wollongong NSW 2500",(02) 4228 0443,h1654@accor.com,http://www.novotelnorthbeach.com.au/
Quality Suites - Boulevard On Beaumont,"131 Beaumont St, Hamilton NSW 2303",(02) 4962 1930,reservations@boulevardonbeaumont.com.au,http://www.boulevardonbeaumont.com.au/
Boardrider Backpacker & Budget Motel.,"Rear 63 The Corso, Manly NSW 2095",(02) 9977 6077,info@boardrider.com.au,http://www.boardrider.com.au/
Bayshore Bungalows Byron Bay,NA,(02) 6685 5693,enquiries@bayshorebungalows.com.au,http://www.bayshorebungalows.com.au/
Starline Alpacas Farm & Stay,"1100 Milbrodale Rd, Broke NSW 2330",(02) 6579 1081,farmstay@starlinealpacas.com.au,http://www.starlinealpacas.com.au/
Boyles Sutherland Hotel,"806-810 Old Princes Hwy, Sutherland NSW 2232",(02) 8535 3014,info@boylessutherlandhotel.com.au,http://www.boylessutherlandhotel.com.au/
Comfort Inn & Suites Burwood,"117 Liverpool Rd, Burwood NSW 2134",(02) 9744 0521,info@comfortburwood.com.au,http://www.comfortburwood.com.au/
Bay Royal Apartments,"24- 28 Bay St, Byron Bay NSW 2481",(02) 6680 9187,apartments@bayroyal.com.au,http://www.bayroyal.com.au/
Astina Serviced Apartments,"7 / 9 Lethbridge St, Penrith NSW 2750",(02) 4722 8597,info@astina.com.au,http://astina.com.au/
Victoria Hotel,NA,(02) 6332 1252,sales@victoriahotelbathurst.com.au,http://www.victoriahotelbathurst.com.au/
Diggers Tavern,"30 Hyde St, Bellingen NSW 2454",(02) 6655 0007,info@diggerstavern.com.au,http://www.diggerstavern.com.au/
